gtfs_id,vehicle_no,short_name
bhubaneshwar_bus,OD33AR5767,O5767
bhubaneshwar_bus,OD05CA4116,O4116
bhubaneshwar_bus,OD33AP7852,O7852
bhubaneshwar_bus,OD05CA1362,O1362
bhubaneshwar_bus,OD33AR4692,O4692
bhubaneshwar_bus,OD05CA1340,O1340
bhubaneshwar_bus,OD33AR4085,O4085
bhubaneshwar_bus,OD05CA4198,O4198
bhubaneshwar_bus,OD33AP7847,O7847
bhubaneshwar_bus,OD05CA4185,O4185
bhubaneshwar_bus,OD33AN0654,O0654
bhubaneshwar_bus,OD05CA1321,O1321
bhubaneshwar_bus,OD33AR4028,O4028
bhubaneshwar_bus,OD05CA1350,O1350
bhubaneshwar_bus,OD33AN0622,O0622
bhubaneshwar_bus,OD05CA1219,D1219
bhubaneshwar_bus,OD33AN0660,O0660
bhubaneshwar_bus,OD05CA4152,O4152
bhubaneshwar_bus,OD33AN0688,O0688
bhubaneshwar_bus,OD05CA1399,O1399
bhubaneshwar_bus,OD33AN0612,O0612
bhubaneshwar_bus,OD05CA4104,O4104
bhubaneshwar_bus,OD33AN0609,O0609
bhubaneshwar_bus,OD05CA4146,O4146
bhubaneshwar_bus,OD33AP7875,O7875
bhubaneshwar_bus,OD05CA4151,O4151
bhubaneshwar_bus,OD33AN0644,O0644
bhubaneshwar_bus,OD05CA1331,O1331
bhubaneshwar_bus,OD33AN0667,O0667
bhubaneshwar_bus,OD05CA4129,O4129
bhubaneshwar_bus,OD33AN0659,O0659
bhubaneshwar_bus,OD05CA4114,O4114
bhubaneshwar_bus,OD33AP7805,O7805
bhubaneshwar_bus,OD05CA4158,O4158
bhubaneshwar_bus,OD33AP7865,O7865
bhubaneshwar_bus,OD05CA1398,O1398
bhubaneshwar_bus,OD33AP7812,O7812
bhubaneshwar_bus,OD05CA4155,O4155
bhubaneshwar_bus,OD33AP7815,O7815
bhubaneshwar_bus,OD05CA1241,O1241
bhubaneshwar_bus,OD33AP7813,O7813
bhubaneshwar_bus,OD05CA1371,O1371
bhubaneshwar_bus,OD33AP7860,O7860
bhubaneshwar_bus,OD05CA1341,O1341
bhubaneshwar_bus,OD33AP7862,O7862
bhubaneshwar_bus,OD05CA1351,O1351
bhubaneshwar_bus,OD33AP7884,O7884
bhubaneshwar_bus,OD05CA1277,O1277
bhubaneshwar_bus,OD33AP7866,O7866
bhubaneshwar_bus,OD05CA4180,O4180
bhubaneshwar_bus,OD33AR5734,O5734
bhubaneshwar_bus,OD05CA1345,O1345
bhubaneshwar_bus,OD33AN0603,O0603
bhubaneshwar_bus,OD05CA4101,O4101
bhubaneshwar_bus,OD33AN0676,O0676
bhubaneshwar_bus,OD05CA4157,O4157
bhubaneshwar_bus,OD33AQ7734,O7734
bhubaneshwar_bus,OD05CA1328,O1328
bhubaneshwar_bus,OD33AQ7948,O7948
bhubaneshwar_bus,OD05CA1325,O1325
bhubaneshwar_bus,OD33AQ7729,O7729
bhubaneshwar_bus,OD05CA1359,D1359
bhubaneshwar_bus,OD33AQ7728,O7728
bhubaneshwar_bus,OD05CA1367,O1367
bhubaneshwar_bus,OD33AQ7708,O7708
bhubaneshwar_bus,OD05CB0068,O0068
bhubaneshwar_bus,OD33AR1359,I1359
bhubaneshwar_bus,OD05CB0201,O0201
bhubaneshwar_bus,OD33AR1342,O1342
bhubaneshwar_bus,OD05CB0062,O0062
bhubaneshwar_bus,OD33AR1301,O1301
bhubaneshwar_bus,OD05CB0251,O0251
bhubaneshwar_bus,OD33AR1310,O1310
bhubaneshwar_bus,OD05CB0094,O0094
bhubaneshwar_bus,OD33AR1385,O1385
bhubaneshwar_bus,OD05CB0281,O0281
bhubaneshwar_bus,OD33AR1375,O1375
bhubaneshwar_bus,OD05CB0063,O0063
bhubaneshwar_bus,OD33AR1366,O1366
bhubaneshwar_bus,OD05CB0060,O0060
